ID, ADRESSE, POSTNR, RUM, PRIS, KR/m2, BOLIG, GRUND, OPFORT, LIGGETID 
"1, Sølvgade 101; 3. tv., 1000, 3, 2.795.000, 33.273, 84 m², 0 m², 1882, 31"
"2, Jernbanegade 7; 2., 1000, 4, 4.695.000, 28.981, 162 m², 0 m², 1942, 290"
"3, Snaregade 8; 3., 1000, 6, 5.995.000, 31.719, 189 m², 0 m², 1807, 67"
"4, Naboløs 4; 2., 1000, 7, 7.495.000, 30.467, 246 m², 0 m², 1802, 180"
"5, Sankt Annæ Plads 9; st., 1000, 7, 11.500.000, 40.492, 284 m², 515 m², 1750, 2"
"6, Grønnegade 31; 4., 1000, 3, 2.995.000, 44.701, 67 m², 0 m², 1741, 195"
"7, Nikolaj Plads 9;4 tv., 1000, 4, 5.250.000, 28.846, 182 m², 0 m², 1849, 513"
"8, Lille Kongensgade 6; 2., 1050, 2, 2.275.000, 32.500, 70 m², 0 m², 1675, 635"
"9, Voigtstrasse 25, 1050, 1, 300.000, 11.111, 27 m², 0 m², 1906, 0"
"10, Voigtstrasse 25, 1050, 2, 710.000, 13.653, 52 m², 0 m², 1906, 0"
"11, Voigtstrasse 25, 1050, 2, 982.000, 18.185, 54 m², 0 m², 1906, 0"
"12, Voigtstrasse 25, 1050, 3, 1.474.000, 19.653, 75 m², 0 m², 1906, 0"
"13, Bänschstrasse 62, 1050, 2, 1.575.000, 18.103, 87 m², 328 m², 1900, 0"
"14, Bänschstrasse 62, 1050, 4, 1.935.000, 19.744, 98 m², 328 m², 1900, 0"
"15, Lille Kongensgade 6; 2, 1050, 2, 2.375.000, 33.928, 70 m², 0 m², 1675, 193"
"16, Lille Kongensgade, 1050, 5, 4.875.000, 38.690, 126 m², 0 m², 1767, 290"
"17, Nyhavn 49C; 01., 1051, 2, 1.850.000, 34.259, 54 m², 0 m², 1887, 95"
"18, Nyhavn 31B; 3., 1051, 2, 2.400.000, 37.500, 64 m², 0 m², 1800, 96"
"19, Nyhavn 49C; 01., 1051, 2, 2.695.000, 49.907, 54 m², 0 m², 1887, 34"
"20, Nyhavn 31B; 03., 1051, 2, 2.775.000, 39.642, 70 m², 0 m², 1800, 12"
"1, Nyhavn 12A; 2., 1051, 3, 2.792.000, 27.643, 101 m², 0 m², 1780, 314"
"2, Nyhavn 31C; 3., 1051, 3, 3.250.000, 37.356, 87 m², 0 m², 1800, 143"
"3, Nyhavn 31B; 03., 1051, 1, 3.320.000, 47.428, 70 m², 0 m², 1800, 21"
"4, Nyhavn 31J; 2. th., 1051, 3, 3.895.000, 34.469, 113 m², 0 m², 1800, 63"
"5, Nyhavn 12A; 2., 1051, 4, 3.995.000, 39.554, 101 m², 0 m², 1780, 130"
"6, Nyhavn 12D; 01. mf, 1051, 1, 4.395.000, 49.943, 88 m², 0 m², 1780, 95"
"7, Nyhavn 31J; 2. th., 1051, 3, 4.395.000, 38.893, 113 m², 0 m², 1800, 90"
"8, Nyhavn 31 E; 2. th, 1051, 3, 4.500.000, 43.689, 103 m², 0 m², 1900, 110"
"9, Nyhavn 31E; 1.  nr. 1; Nyhavn, 1051, 3, 4.995.000, 52.031, 96 m², 2940 m², 1900, 120"
"10, Nyhavn 31F; 1. tv., 1051, 2, 4.995.000, 46.682, 107 m², 0 m², 1918, 185"
"11, Nyhavn 31F; 3. mf., 1051, 2, 5.250.000, 56.451, 93 m², 0 m², 1918, 7"
"12, Nyhavn 31J; 3. tv., 1051, 3, 5.250.000, 56.451, 93 m², 0 m², 1800, 119"
"13, Nyhavn 31F  2. TV., 1051, 2, 5.295.000, 49.485, 107 m², 0 m², 1918, 201"
"14, Nyhavn 31C; 4., 1051, 3, 5.500.000, 39.855, 138 m², 2940 m², 1800, 13"
"15, Nyhavn 31J  2. TV., 1051, 3, 5.500.000, 55.000, 100 m², 0 m², 1800, 81"
"16, Nyhavn 14; 3., 1051, 3, 5.500.000, 36.423, 151 m², 0 m², 1770, 37"
"17, Nyhavn 31J; 2. tv., 1051, 3, 5.500.000, 55.000, 100 m², 0 m², 1800, 190"
"18, Nyhavn 31E  2. MF., 1051, 3, 5.550.000, 60.326, 92 m², 0 m², 1900, 174"
"19, Nyhavn 31C; 1. th., 1051, 3, 5.595.000, 48.232, 116 m², 0 m², 1800, 79"
"20, Nyhavn 31E; 3.  nr. 2, 1051, 2, 5.695.000, 61.902, 92 m², 0 m², 1900, 106"
"1, Nyhavn 31K; 02. th, 1051, 6, 5.700.000, 34.337, 166 m², 0 m², 1800, 358"
"2, Nyhavn 53 B; 1. th, 1051, 4, 5.750.000, 37.828, 152 m², 0 m², 1755, 170"
"3, Nyhavn 31K; 2., 1051, 4, 5.750.000, 34.638, 166 m², 0 m², 1800, 237"
"4, Nyhavn 31C; 1. th., 1051, 3, 5.850.000, 50.431, 116 m², 0 m², 1800, 194"
"5, Nyhavn 31K; 02. th, 1051, 6, 5.895.000, 35.512, 166 m², 0 m², 1800, 172"
"6, Nyhavn 14; 2., 1051, 4, 5.900.000, 38.815, 152 m², 0 m², 1770, 203"
"7, Nyhavn 31E; 4. tv., 1051, 3, 6.250.000, 65.104, 96 m², 0 m², 1900, 23"
"8, Nyhavn 31K; 2., 1051, 4, 6.500.000, 39.156, 166 m², 0 m², 1800, 1"
"9, Nyhavn 51; 3., 1051, 4, 6.950.000, 46.026, 151 m², 110 m², 1766, 207"
"10, Nyhavn 53C; 3., 1051, 5, 7.250.000, 40.277, 180 m², 0 m², 1755, 173"
"11, Nyhavn 38; st.  nr. 4, 1051, 4, 7.300.000, 87.951, 83 m², 673 m², 1880, 68"
"12, Nyhavn 31A; 3., 1051, 3, 7.450.000, 32.964, 226 m², 0 m², 1800, 238"
"13, Nyhavn 51; 3., 1051, 4, 7.495.000, 49.635, 151 m², 0 m², 1766, 217"
"14, Nyhavn 23  4., 1051, 4, 7.850.000, 47.289, 166 m², 0 m², 1700, 109"
"15, Nyhavn 23; 4., 1051, 4, 7.850.000, 47.289, 166 m², 0 m², 1700, 86"
"16, Nyhavn 12; 4., 1051, 3, 8.500.000, 46.448, 183 m², 0 m², 1780, 148"
"17, Nyhavn 16; 3., 1051, 6, 9.000.000, 48.648, 185 m², 0 m², 1770, 438"
"18, Nyhavn 31A; 3., 1051, 4, 9.500.000, 42.035, 226 m², 0 m², 1800, 171"
"19, Nyhavn 53; 1., 1051, 7, 11.995.000, 43.777, 274 m², 0 m², 1755, 177"
"20, Nyhavn 12; 3., 1051, 5, 12.450.000, 64.507, 193 m², 920 m², 1780, 140"
"1, Nyhavn 49C 3., 1051, 2, 1.495.000, 28.750, 52 m², 0 m², 1887, 9"
"2, Nyhavn 49C; 3., 1051, 1, 1.495.000, 28.750, 52 m², 0 m², 1887, 58"
"3, Nyhavn 31L; St, 1051, 2, 2.250.000, 35.156, 64 m², 0 m², 1900, 63"
"4, Nyhavn 31E; st tv, 1051, 2, 2.250.000, 32.608, 69 m², 0 m², 1900, 45"
"5, Nyhavn 12 A; 3. sal, 1051, 2, 2.349.000, 46.980, 50 m², 0 m², 1780, 11"
"6, Nyhavn 31 B; 3., 1051, 2, 2.500.000, 39.062, 64 m², 64 m², 1800, 183"
"7, Nyhavn 31B; st, 1051, 1, 2.598.000, 35.108, 74 m², 0 m², 1800, 94"
"8, Nyhavn 12 A 2, 1051, 3, 2.695.000, 29.293, 92 m², 0 m², 1780, 180"
"9, Nyhavn 12D; 1. mf., 1051, 2, 2.695.000, 33.687, 80 m², 0 m², 1780, 19"
"10, Nyhavn 31E; 1; 3, 1051, 3, 2.750.000, 36.184, 76 m², 0 m², 1900, 209"
"11, Nyhavn 12A 2., 1051, 3, 2.792.000, 27.920, 100 m², 0 m², 1780, 182"
"12, Nyhavn 31 M; St., 1051, 2, 2.890.000, 34.000, 85 m², 0 m², 1900, 181"
"13, Nyhavn 31E; 3; 3, 1051, 3, 2.950.000, 39.333, 75 m², 0 m², 1900, 215"
"14, Nyhavn 31E; st th, 1051, 2, 2.990.000, 32.150, 93 m², 0 m², 1900, 189"
"15, Nyhavn 31c; st, 1051, 4, 2.995.000, 28.523, 105 m², 0 m², 1800, 151"
"16, Nyhavn 12D; st., 1051, 3, 2.995.000, 25.598, 117 m², 0 m², 1780, 12"
"17, Nyhavn 31J; 1. tv., 1051, 3, 2.995.000, 33.277, 90 m², -1 m², 1800, 23"
"18, Nyhavn 35; st., 1051, 3, 2.999.000, 38.948, 77 m², 0 m², 1700, 66"
"19, Nyhavn 31B; 1. tv., 1051, 3, 3.195.000, 27.782, 115 m², 0 m², 1800, 70"
"20, Nyhavn 31; stue, 1051, 4, 3.195.000, 28.526, 112 m², 0 m², 0, 260"
